Sample No,Aflatoxin ppb,fum ppb,aflalog,fumolog
1,22.6,94.6,1.4,2.0
2,1.7,5.0,0.2,0.7
3,1.5,117.0,0.2,2.1
4,1.4,3741.8,0.1,3.6
5,42.1,726.9,1.6,2.9
6,1.3,5.0,0.1,0.7
7,1.5,5.0,0.2,0.7
8,18.6,4374.8,1.3,3.6
9,2.8,15090.0,0.4,4.2
10,1.3,4192.1,0.1,3.6
11,1.2,3653.4,0.1,3.6
12,3.5,30651.3,0.5,4.5
13,1.5,1810.9,0.2,3.3
14,0.5,252.1,-0.3,2.4
15,0.5,5.0,-0.3,0.7
16,57.2,5.0,1.8,0.7
17,1.5,1063.9,0.2,3.0
18,1.9,19355.0,0.3,4.3
19,1.4,594.8,0.1,2.8
20,1.7,5.0,0.2,0.7
21,1.7,3108.3,0.2,3.5
22,2.1,376.7,0.3,2.6
23,1.4,31708.4,0.1,4.5
24,2.6,5.0,0.4,0.7
25,4.1,53947.8,0.6,4.7
26,1.6,2611.1,0.2,3.4
27,0.5,2461.6,-0.3,3.4
28,2.4,599.6,0.4,2.8
29,1.4,522.1,0.1,2.7
30,1.9,34522.0,0.3,4.5
31,0.5,5.0,-0.3,0.7
32,2.4,5.0,0.4,0.7
33,1.6,93.4,0.2,2.0
34,2.7,5.0,0.4,0.7
35,1.1,5.0,0.0,0.7
36,64.9,1626.9,1.8,3.2
37,1.6,409.4,0.2,2.6
38,0.5,350.8,-0.3,2.5
39,2.1,5.0,0.3,0.7
40,1.2,5.0,0.1,0.7
41,1.6,5.0,0.2,0.7
42,1.9,332.3,0.3,2.5
43,1.5,5.0,0.2,0.7
44,12.2,783.6,1.1,2.9
45,0.5,5.0,-0.3,0.7
46,2.6,5383.4,0.4,3.7
47,1.6,5.0,0.2,0.7
48,2.1,5.0,0.3,0.7
49,89.4,2026.4,2.0,3.3
50,1.1,771.2,0.0,2.9
51,2.3,5.0,0.4,0.7
52,1.4,515.6,0.1,2.7
53,0.5,3988.1,-0.3,3.6
54,0.5,5.0,-0.3,0.7
55,0.5,3138.9,-0.3,3.5
56,1.7,5.0,0.2,0.7
57,1.8,116.9,0.3,2.1
58,2.0,5.0,0.3,0.7
59,3.0,127.5,0.5,2.1
60,50.7,5.0,1.7,0.7
61,0.5,5.0,-0.3,0.7
62,1.9,5.0,0.3,0.7
63,2.5,3597.2,0.4,3.6
64,0.5,5.0,-0.3,0.7
65,1.5,5.0,0.2,0.7
66,2.1,5.0,0.3,0.7
67,1.8,5.0,0.2,0.7
68,2.1,561.5,0.3,2.7
69,0.5,1376.8,-0.3,3.1
70,1.2,5.0,0.1,0.7
71,2.9,5120.0,0.5,3.7
72,2.2,5.0,0.3,0.7
73,2.0,5.0,0.3,0.7
74,2.0,5.0,0.3,0.7
75,2.9,5.0,0.5,0.7
76,2.1,5.0,0.3,0.7
77,1.6,5.0,0.2,0.7
78,0.5,5.0,-0.3,0.7
79,0.5,2378.8,-0.3,3.4
80,1.1,5.0,0.0,0.7
81,1.5,5470.4,0.2,3.7
82,0.5,5.0,-0.3,0.7
83,1.9,756.7,0.3,2.9
84,1.3,5.0,0.1,0.7
85,1.5,218.0,0.2,2.3
86,1.7,2906.9,0.2,3.5
87,2.4,505.7,0.4,2.7
88,2.0,1664.4,0.3,3.2
89,2.6,5.0,0.4,0.7
90,1.8,5.0,0.2,0.7
91,0.5,1531.8,-0.3,3.2
92,1.9,5.0,0.3,0.7
93,1.8,1386.1,0.2,3.1
94,1.7,196.9,0.2,2.3
95,0.5,5.0,-0.3,0.7
96,5.2,2464.6,0.7,3.4
97,2.2,5.0,0.3,0.7
98,123.3,2189.5,2.1,3.3
99,1.5,367.3,0.2,2.6
